SDET用例ID,不可自动化原因,是否可自动化,期望结果,测试步骤,测试点描述,用例名称,用例描述,用例编号,目录分类,脚本名称,自动化关键步骤,预置条件
67027,,是,"1.用户1x无线认证失败
---用户无法收到”未通过强度检测的修改“通知  
2.在认证失败日志看到用户认证失败原因为：“用户未通过密码强度检测","1.用户1x无线首次登录，密码为12345
2.查看认证失败日志",配置组三个按钮开启/关闭的组合-首次用户登录,首次登录+不符合密码策略+关闭首次登录用户强制修改密码+开启对未通过密码强度监测的用户进行强制处理（返回认证失败+短信通知、没有配置对应的网关及短信模板）+关闭定时强制密码修改,"1、用户1X无线首次登录，不符合密码策略，定时强制修改密码常关
2、用户1x无线认证失败
---用户无法收到”未通过强度检测的修改“通知",RG-UNC-dot1x密码复杂度-TP-043,dot1x密码复杂度/认证组合-首次登录,首次登录-不符合策略-强度检测强制开-调用配置接口设策略-触发1x认证-断言认证失败-未通过密码强度检测,"1. 登录管理端 - 引用51401
2. 调用密码策略配置接口，设置密码复杂度要求（首字母大写、包含小写字母、数字、特殊字符，长度3-30）
3. 调用密码安全管理配置接口，关闭「首次登录用户强制修改密码」按钮
4. 调用密码安全管理配置接口，开启「对未通过密码强度检测的用户进行强制处理」按钮，强制处理方式设为""返回认证失败""
5. 调用密码安全管理配置接口，关闭「启用定期修改密码」按钮
6. 调用用户管理接口，创建测试用户并设置不符合密码策略的密码（如 rui12345，不含大写字母和特殊字符）
7. 调用模拟认证接口，触发用户首次1x有线认证
8. 调用认证日志查询接口，断言认证失败
9. 调用认证失败日志查询接口，断言失败原因包含「未通过密码强度检测」
10. 清理测试数据 - 调用接口删除测试用户/恢复密码策略默认配置","1.设置密码策略为包含首字母是大写字母、小写字母、长度3-30、数字，
2、关闭首次登录用户强制修改密码、开启未通过密码强度检测的用户强制修改密码、关闭定时强制修改密码
3.针对”对未通过密码强度检测的用户进行强制处理”返回认证失败+短信通知“
4.针对”对未通过密码强度检测的用户进行强制处理”没有配置好对应的网关和短信模板“"
67028,,是,"1.用户1x有线认证失败
---用户收到”首次登录需修改密码“的通知
2..在认证失败日志看到用户认证失败原因为：用户首次登录需修改密码","1.用户1x有线首次登录认证，密码为Rui12345
2.查看认证失败日志",配置组三个按钮开启/关闭的组合-首次用户登录,首次登录+符合密码策略+开启首次登录用户强制修改密码（返回认证失败+短信通知）+关闭对未通过密码强度监测的用户进行强制处理+关闭定时强制密码修改,"1、用户1X有线首次登录，符合密码策略，定时强制修改密码常关
2、用户1x有线认证失败
---用户收到”首次登录需修改密码“的通知",RG-UNC-dot1x密码复杂度-TP-044,dot1x密码复杂度/认证组合-首次登录,首次登录-符合策略-首次登录强制开-调用配置接口设策略-触发1x认证-断言认证失败-用户首次登录需修改密码,"1. 登录管理端 - 引用51401
2. 调用密码策略配置接口，设置密码复杂度要求（首字母大写、包含小写字母、数字、特殊字符，长度3-30）
3. 调用密码安全管理配置接口，开启「首次登录用户强制修改密码」按钮，强制处理方式设为""返回认证失败+短信通知""
4. 调用密码安全管理配置接口，关闭「对未通过密码强度检测的用户进行强制处理」按钮
5. 调用密码安全管理配置接口，关闭「启用定期修改密码」按钮
6. 调用用户管理接口，创建测试用户并设置符合密码策略的密码（如 Rui12345?，含大写+小写+数字+特殊字符）
7. 调用模拟认证接口，触发用户首次1x有线认证
8. 调用认证日志查询接口，断言认证失败
9. 调用认证失败日志查询接口，断言失败原因包含「用户首次登录需修改密码」
10. 清理测试数据 - 调用接口删除测试用户/恢复密码策略默认配置","1.设置密码策略为包含首字母是大写字母、小写字母、长度3-30、数字，
2、开启首次登录用户强制修改密码、关闭未通过密码强度检测的用户强制修改密码、关闭定时强制修改密码
3.针对”首次登录用户强制修改密码“选择”返回认证失败+短信通知“
4.针对”首次登录用户强制修改密码“已配置好对应的网关和短信模板"
67029,,是,"1.用户1x无线认证失败
2..在认证失败日志看到用户认证失败原因为：用户首次登录需修改密码","1.用户1x无线首次登录，密码为12345
2.查看认证失败日志",配置组三个按钮开启/关闭的组合-首次用户登录,首次登录+不符合密码策略+开启首次登录用户强制修改密码+关闭对未通过密码强度监测的用户进行强制处理+关闭定时强制密码修改,"1、用户1X无线首次登录，不符合密码策略，定时强制修改密码常关
2、用户1x无线认证失败",RG-UNC-dot1x密码复杂度-TP-045,dot1x密码复杂度/认证组合-首次登录,首次登录-不符合策略-首次登录强制开-调用配置接口设策略-触发1x认证-断言认证失败-用户首次登录需修改密码,"1. 登录管理端 - 引用51401
2. 调用密码策略配置接口，设置密码复杂度要求（首字母大写、包含小写字母、数字、特殊字符，长度3-30）
3. 调用密码安全管理配置接口，开启「首次登录用户强制修改密码」按钮，强制处理方式设为""返回认证失败""
4. 调用密码安全管理配置接口，关闭「对未通过密码强度检测的用户进行强制处理」按钮
5. 调用密码安全管理配置接口，关闭「启用定期修改密码」按钮
6. 调用用户管理接口，创建测试用户并设置不符合密码策略的密码（如 rui12345，不含大写字母和特殊字符）
7. 调用模拟认证接口，触发用户首次1x有线认证
8. 调用认证日志查询接口，断言认证失败
9. 调用认证失败日志查询接口，断言失败原因包含「用户首次登录需修改密码」
10. 清理测试数据 - 调用接口删除测试用户/恢复密码策略默认配置","1.设置密码策略为包含首字母是大写字母、小写字母、长度3-30、数字，
2、开启首次登录用户强制修改密码、关闭未通过密码强度检测的用户强制修改密码、关闭定时强制修改密码"
67030,,是,1.用户1x有线认证成功,1.用户1x有线首次登录认证，密码为Rui12345,配置组三个按钮开启/关闭的组合-首次用户登录,首次登录+符合密码策略+关闭首次登录用户强制修改密码+关闭对未通过密码强度监测的用户进行强制处理+关闭定时强制密码修改,"1、用户1X有线首次登录，符合密码策略，定时强制修改密码常关
2、用户1x有线认证成功",RG-UNC-dot1x密码复杂度-TP-046,dot1x密码复杂度/认证组合-首次登录,首次登录-符合策略-三策略均关-调用配置接口设策略-触发1x认证-断言认证成功,"1. 登录管理端 - 引用51401
2. 调用密码策略配置接口，设置密码复杂度要求（首字母大写、包含小写字母、数字、特殊字符，长度3-30）
3. 调用密码安全管理配置接口，关闭「首次登录用户强制修改密码」按钮
4. 调用密码安全管理配置接口，关闭「对未通过密码强度检测的用户进行强制处理」按钮
5. 调用密码安全管理配置接口，关闭「启用定期修改密码」按钮
6. 调用用户管理接口，创建测试用户并设置符合密码策略的密码（如 Rui12345?，含大写+小写+数字+特殊字符）
7. 调用模拟认证接口，触发用户首次1x有线认证
8. 调用认证日志查询接口，断言认证成功
9. 清理测试数据 - 调用接口删除测试用户/恢复密码策略默认配置","1.设置密码策略为包含首字母是大写字母、小写字母、长度3-30、数字，
2、关闭首次登录用户强制修改密码、关闭未通过密码强度检测的用户强制修改密码、关闭定时强制修改密码"
67031,,是,1.用户1x无线认证成功,1.用户1x无线首次登录，密码为12345,配置组三个按钮开启/关闭的组合-首次用户登录,首次登录+不符合密码策略+关闭首次登录用户强制修改密码+关闭对未通过密码强度监测的用户进行强制处理+关闭定时强制密码修改,"1、用户1X无线首次登录，不符合密码策略，定时强制修改密码常关
2、用户1x无线认证成功",RG-UNC-dot1x密码复杂度-TP-047,dot1x密码复杂度/认证组合-首次登录,首次登录-不符合策略-三策略均关-调用配置接口设策略-触发1x认证-断言认证成功,"1. 登录管理端 - 引用51401
2. 调用密码策略配置接口，设置密码复杂度要求（首字母大写、包含小写字母、数字、特殊字符，长度3-30）
3. 调用密码安全管理配置接口，关闭「首次登录用户强制修改密码」按钮
4. 调用密码安全管理配置接口，关闭「对未通过密码强度检测的用户进行强制处理」按钮
5. 调用密码安全管理配置接口，关闭「启用定期修改密码」按钮
6. 调用用户管理接口，创建测试用户并设置不符合密码策略的密码（如 rui12345，不含大写字母和特殊字符）
7. 调用模拟认证接口，触发用户首次1x有线认证
8. 调用认证日志查询接口，断言认证成功
9. 清理测试数据 - 调用接口删除测试用户/恢复密码策略默认配置","1.设置密码策略为包含首字母是大写字母、小写字母、长度3-30、数字，
2、关闭首次登录用户强制修改密码、关闭未通过密码强度检测的用户强制修改密码、关闭定时强制修改密码"
67032,,是,1.用户1x有线认证成功,1.用户1x有线非首次登录认证，密码为Rui12345,配置组三个按钮开启/关闭的组合-非首次用户登录,非首次登录+符合密码策略+开启首次登录用户强制修改密码（返回认证失败+短信通知）+开启对未通过密码强度监测的用户进行强制处理（返回认证失败+短信通知）+开启定时强制密码修改（返回认证失败+短信通知）+开启提前短信通知（在定时期间内）,"1、用户1X有线非首次登录，符合密码策略，定时强制密码修改常开(在定时期间内）
2、用户1x有线认证成功",RG-UNC-dot1x密码复杂度-TP-048,dot1x密码复杂度/认证组合-首次登录,非首次登录-符合策略-首次登录强制开+强度检测强制开+定时强制开-调用配置接口设策略-触发1x认证-断言认证成功,"1. 登录管理端 - 引用51401
2. 调用密码策略配置接口，设置密码复杂度要求（首字母大写、包含小写字母、数字、特殊字符，长度3-30）
3. 调用密码安全管理配置接口，开启「首次登录用户强制修改密码」按钮，强制处理方式设为""返回认证失败+短信通知""
4. 调用密码安全管理配置接口，开启「对未通过密码强度检测的用户进行强制处理」按钮，强制处理方式设为""返回认证失败+短信通知""
5. 调用密码安全管理配置接口，开启「启用定期修改密码」按钮，强制处理方式设为""返回认证失败+短信通知""
6. 调用用户管理接口，创建测试用户并设置符合密码策略的密码（如 Rui12345?，含大写+小写+数字+特殊字符）
7. 调用模拟认证接口，触发用户非首次1x有线认证
8. 调用认证日志查询接口，断言认证成功
9. 清理测试数据 - 调用接口删除测试用户/恢复密码策略默认配置","1.设置密码策略为包含首字母是大写字母、小写字母、长度3-30、数字，
2、开启首次登录用户强制修改密码、开启未通过密码强度检测的用户强制修改密码、开启定时强制修改密码、开启提前短信通知
3.针对”首次登录用户强制修改密码“选择”返回认证失败+短信通知“
--针对”对未通过密码强度检测的用户进行强制处理”返回认证失败+短信通知“
--针对”定时强制修改密码”返回认证失败+短信通知“
4.针对”首次登录用户强制修改密码“已配置好对应的网关和短信模板
--针对”对未通过密码强度检测的用户进行强制处理”已配置好对应的网关和短信模板“
--针对”定时强制修改密码”已配置好对应的网关和短信模板“"
67033,,是,"1.用户1x无线认证失败
---用户收到”未通过强度检测用户处理“的短信通知
2.在认证失败日志看到用户认证失败原因为：“用户未通过密码强度检测","1.用户1x无线首次登录，密码为12345
2.查看认证失败日志",配置组三个按钮开启/关闭的组合-非首次用户登录,非首次登录+不符合密码策略+开启首次登录用户强制修改密码（返回认证失败+短信通知）+开启对未通过密码强度监测的用户进行强制处理（返回认证失败+短信通知）+开启定时强制密码修改（返回认证失败+短信通知）+开启提前短信通知（在定时期间内）,"1、用户1X无线非首次登录，不符合密码策略，定时强制密码修改常开(在定时期间内
2、用户1x无线认证失败
---用户收到”未通过强度检测用户处理“的短信通知",RG-UNC-dot1x密码复杂度-TP-049,dot1x密码复杂度/认证组合-首次登录,非首次登录-不符合策略-首次登录强制开+强度检测强制开+定时强制开-调用配置接口设策略-触发1x认证-断言认证失败-未通过密码强度检测,"1. 登录管理端 - 引用51401
2. 调用密码策略配置接口，设置密码复杂度要求（首字母大写、包含小写字母、数字、特殊字符，长度3-30）
3. 调用密码安全管理配置接口，开启「首次登录用户强制修改密码」按钮，强制处理方式设为""返回认证失败+短信通知""
4. 调用密码安全管理配置接口，开启「对未通过密码强度检测的用户进行强制处理」按钮，强制处理方式设为""返回认证失败+短信通知""
5. 调用密码安全管理配置接口，开启「启用定期修改密码」按钮，强制处理方式设为""返回认证失败+短信通知""
6. 调用用户管理接口，创建测试用户并设置不符合密码策略的密码（如 rui12345，不含大写字母和特殊字符）
7. 调用模拟认证接口，触发用户非首次1x有线认证
8. 调用认证日志查询接口，断言认证失败
9. 调用认证失败日志查询接口，断言失败原因包含「未通过密码强度检测」
10. 清理测试数据 - 调用接口删除测试用户/恢复密码策略默认配置","1.设置密码策略为包含首字母是大写字母、长度3-30、数字，
2、开启首次登录用户强制修改密码、开启未通过密码强度检测的用户强制修改密码、开启定时强制修改密码、开启提前短信通知
3.针对”首次登录用户强制修改密码“选择”返回认证失败+短信通知“
--针对”对未通过密码强度检测的用户进行强制处理”返回认证失败+短信通知“
--针对”定时强制修改密码”返回认证失败+短信通知“
4.针对”首次登录用户强制修改密码“已配置好对应的网关和短信模板
--针对”对未通过密码强度检测的用户进行强制处理”已配置好对应的网关和短信模板“
--针对”定时强制修改密码”已配置好对应的网关和短信模板“"
67034,,是,1.用户1x有线认证成功,1.用户1x有线非首次登录认证，密码为Rui12345,配置组三个按钮开启/关闭的组合-非首次用户登录,非首次登录+符合密码策略+关闭首次登录用户强制修改密码+开启对未通过密码强度监测的用户进行强制处理（返回认证失败+短信通知）+开启定时强制密码修改+开启提前短信通知（在定时期间内）,"1、用户1X有线非首次登录，符合密码策略，定时强制密码修改常开(在定时期间内
2、用户1x有线认证成功",RG-UNC-dot1x密码复杂度-TP-050,dot1x密码复杂度/认证组合-首次登录,非首次登录-符合策略-强度检测强制开+定时强制开-调用配置接口设策略-触发1x认证-断言认证成功,"1. 登录管理端 - 引用51401
2. 调用密码策略配置接口，设置密码复杂度要求（首字母大写、包含小写字母、数字、特殊字符，长度3-30）
3. 调用密码安全管理配置接口，关闭「首次登录用户强制修改密码」按钮
4. 调用密码安全管理配置接口，开启「对未通过密码强度检测的用户进行强制处理」按钮，强制处理方式设为""返回认证失败+短信通知""
5. 调用密码安全管理配置接口，开启「启用定期修改密码」按钮，强制处理方式设为""返回认证失败+短信通知""
6. 调用用户管理接口，创建测试用户并设置符合密码策略的密码（如 Rui12345?，含大写+小写+数字+特殊字符）
7. 调用模拟认证接口，触发用户非首次1x有线认证
8. 调用认证日志查询接口，断言认证成功
9. 清理测试数据 - 调用接口删除测试用户/恢复密码策略默认配置","1.设置密码策略为包含首字母是大写字母、小写字母、长度3-30、数字，
2、关闭首次登录用户强制修改密码、开启未通过密码强度检测的用户强制修改密码、开启定时强制修改密码、开启提前短信通知
3.针对”对未通过密码强度检测的用户进行强制处理”返回认证失败+短信通知“
4.针对”对未通过密码强度检测的用户进行强制处理”已配置好对应的网关和短信模板“"
67035,,是,"1.用户1x无线认证失败
---用户无法收到”未通过强度检测用户处理“的短信通知
2.在认证失败日志看到用户认证失败原因为：“用户未通过密码强度检测","1.用户1x无线首次登录，密码为Rui123
2.查看认证失败日志",配置组三个按钮开启/关闭的组合-非首次用户登录,非首次登录+不符合密码策略+关闭首次登录用户强制修改密码+开启对未通过密码强度监测的用户进行强制处理（返回认证失败+短信通知、没有获取用户手机号）+开启定时强制密码修改+开启提前短信通知（在定时期间内）,"1、用户1X无线非首次登录，不符合密码策略，定时强制密码修改常开(在定时期间内）
2、用户1x无线认证失败
---用户无法收到”未通过强度检测用户处理“的短信通知",RG-UNC-dot1x密码复杂度-TP-051,dot1x密码复杂度/认证组合-首次登录,非首次登录-不符合策略-强度检测强制开+定时强制开-调用配置接口设策略-触发1x认证-断言认证失败-未通过密码强度检测,"1. 登录管理端 - 引用51401
2. 调用密码策略配置接口，设置密码复杂度要求（首字母大写、包含小写字母、数字、特殊字符，长度3-30）
3. 调用密码安全管理配置接口，关闭「首次登录用户强制修改密码」按钮
4. 调用密码安全管理配置接口，开启「对未通过密码强度检测的用户进行强制处理」按钮，强制处理方式设为""返回认证失败+短信通知""
5. 调用密码安全管理配置接口，开启「启用定期修改密码」按钮，强制处理方式设为""返回认证失败+短信通知""
6. 调用用户管理接口，创建测试用户并设置不符合密码策略的密码（如 rui12345，不含大写字母和特殊字符）
7. 调用模拟认证接口，触发用户非首次1x有线认证
8. 调用认证日志查询接口，断言认证失败
9. 调用认证失败日志查询接口，断言失败原因包含「未通过密码强度检测」
10. 清理测试数据 - 调用接口删除测试用户/恢复密码策略默认配置","1.设置密码策略为包含首字母是大写字母、小写字母、长度8-30、数字，
2、开启首次登录用户强制修改密码、开启未通过密码强度检测的用户强制修改密码、开启定时强制修改密码、开启提前短信通知
3.针对”首次登录用户强制修改密码“选择”返回认证失败+短信通知“
--针对”对未通过密码强度检测的用户进行强制处理”返回认证失败+短信通知“
--针对”定时强制修改密码”返回认证失败+短信通知“
4.针对”首次登录用户强制修改密码“已配置好对应的网关和短信模板
--针对”对未通过密码强度检测的用户进行强制处理”已配置好对应的网关和短信模板“
--针对”定时强制修改密码”已配置好对应的网关和短信模板“"
67036,,是,1.用户1x有线认证成功,1.用户1x有线非首次登录认证，密码为Rui12345,配置组三个按钮开启/关闭的组合-非首次用户登录,非首次登录+符合密码策略+开启首次登录用户强制修改密码（返回认证失败+短信通知）+关闭对未通过密码强度监测的用户进行强制处理+开启定时强制密码修改（返回认证失败+短信通知）+开启提前短信通知（在定时期间内）,"1、用户1X有线非首次登录，符合密码策略，定时强制密码修改常开(在定时期间内
2、用户1x有线认证成功",RG-UNC-dot1x密码复杂度-TP-052,dot1x密码复杂度/认证组合-首次登录,非首次登录-符合策略-首次登录强制开+定时强制开-调用配置接口设策略-触发1x认证-断言认证成功,"1. 登录管理端 - 引用51401
2. 调用密码策略配置接口，设置密码复杂度要求（首字母大写、包含小写字母、数字、特殊字符，长度3-30）
3. 调用密码安全管理配置接口，开启「首次登录用户强制修改密码」按钮，强制处理方式设为""返回认证失败+短信通知""
4. 调用密码安全管理配置接口，关闭「对未通过密码强度检测的用户进行强制处理」按钮
5. 调用密码安全管理配置接口，开启「启用定期修改密码」按钮，强制处理方式设为""返回认证失败+短信通知""
6. 调用用户管理接口，创建测试用户并设置符合密码策略的密码（如 Rui12345?，含大写+小写+数字+特殊字符）
7. 调用模拟认证接口，触发用户非首次1x有线认证
8. 调用认证日志查询接口，断言认证成功
9. 清理测试数据 - 调用接口删除测试用户/恢复密码策略默认配置","1.设置密码策略为包含首字母是大写字母、小写字母、长度3-30、数字，
2、开启首次登录用户强制修改密码、关闭未通过密码强度检测的用户强制修改密码、开启定时强制修改密码、开启提前短信通知
3.针对”首次登录用户强制修改密码“选择”返回认证失败+短信通知“
--针对”定时强制修改密码”返回认证失败+短信通知“
4.针对”首次登录用户强制修改密码“已配置好对应的网关和短信模板
--针对”定时强制修改密码”已配置好对应的网关和短信模板“"
67037,,是,1.用户1x无线认证成功,1.用户1x无线首次登录，密码为12345,配置组三个按钮开启/关闭的组合-非首次用户登录,非首次登录+不符合密码策略+开启首次登录用户强制修改密码（返回认证失败+短信通知）+关闭对未通过密码强度监测的用户进行强制处理+开启定时强制密码修改（返回认证失败+短信通知）+开启提前短信通知（在定时期间内）,"1、用户1X无线非首次登录，不符合密码策略，定时强制密码修改常开(在定时期间内）
2、用户1x无线认证成功",RG-UNC-dot1x密码复杂度-TP-053,dot1x密码复杂度/认证组合-首次登录,非首次登录-不符合策略-首次登录强制开+定时强制开-调用配置接口设策略-触发1x认证-断言认证成功,"1. 登录管理端 - 引用51401
2. 调用密码策略配置接口，设置密码复杂度要求（首字母大写、包含小写字母、数字、特殊字符，长度3-30）
3. 调用密码安全管理配置接口，开启「首次登录用户强制修改密码」按钮，强制处理方式设为""返回认证失败+短信通知""
4. 调用密码安全管理配置接口，关闭「对未通过密码强度检测的用户进行强制处理」按钮
5. 调用密码安全管理配置接口，开启「启用定期修改密码」按钮，强制处理方式设为""返回认证失败+短信通知""
6. 调用用户管理接口，创建测试用户并设置不符合密码策略的密码（如 rui12345，不含大写字母和特殊字符）
7. 调用模拟认证接口，触发用户非首次1x有线认证
8. 调用认证日志查询接口，断言认证成功
9. 清理测试数据 - 调用接口删除测试用户/恢复密码策略默认配置","1.设置密码策略为包含首字母是大写字母、小写字母、长度3-30、数字，
2、开启首次登录用户强制修改密码、关闭未通过密码强度检测的用户强制修改密码、开启定时强制修改密码、开启提前短信通知
3.针对”首次登录用户强制修改密码“选择”返回认证失败+短信通知“
--针对”定时强制修改密码”返回认证失败+短信通知“
4.针对”首次登录用户强制修改密码“已配置好对应的网关和短信模板
--针对”定时强制修改密码”已配置好对应的网关和短信模板“"
67038,,是,1.用户1x有线认证成功,1.用户1x有线非首次登录认证，密码为Rui12345,配置组三个按钮开启/关闭的组合-非首次用户登录,非首次登录+符合密码策略+关闭首次登录用户强制修改密码+关闭对未通过密码强度监测的用户进行强制处理+开启定时强制密码修改（返回认证失败+短信通知）+开启提前短信通知（在定时期间内）,"1、用户1X有线非首次登录，符合密码策略，定时强制密码修改常开(在定时期间内)
2、用户1x有线认证成功",RG-UNC-dot1x密码复杂度-TP-054,dot1x密码复杂度/认证组合-首次登录,非首次登录-符合策略-定时强制开-调用配置接口设策略-触发1x认证-断言认证成功,"1. 登录管理端 - 引用51401
2. 调用密码策略配置接口，设置密码复杂度要求（首字母大写、包含小写字母、数字、特殊字符，长度3-30）
3. 调用密码安全管理配置接口，关闭「首次登录用户强制修改密码」按钮
4. 调用密码安全管理配置接口，关闭「对未通过密码强度检测的用户进行强制处理」按钮
5. 调用密码安全管理配置接口，开启「启用定期修改密码」按钮，强制处理方式设为""返回认证失败+短信通知""
6. 调用用户管理接口，创建测试用户并设置符合密码策略的密码（如 Rui12345?，含大写+小写+数字+特殊字符）
7. 调用模拟认证接口，触发用户非首次1x有线认证
8. 调用认证日志查询接口，断言认证成功
9. 清理测试数据 - 调用接口删除测试用户/恢复密码策略默认配置","1.设置密码策略为包含首字母是大写字母、小写字母、长度3-30、数字，
2、关闭首次登录用户强制修改密码、关闭未通过密码强度检测的用户强制修改密码、开启定时强制修改密码、开启提前短信通知
3.针对”定时强制修改密码”返回认证失败+短信通知“
4.针对”定时强制修改密码”已配置好对应的网关和短信模板“"
67039,,是,1.用户1x无线认证成功,1.用户1x无线首次登录，密码为12345,配置组三个按钮开启/关闭的组合-非首次用户登录,非首次登录+不符合密码策略+关闭首次登录用户强制修改密码+关闭对未通过密码强度监测的用户进行强制处理+开启定时强制密码修改（返回认证失败+短信通知）+开启提前短信通知（在定时期间内）,"1、用户1X无线非首次登录，不符合密码策略，定时强制密码修改常开(在定时期间内
2、用户1x无线认证成功",RG-UNC-dot1x密码复杂度-TP-055,dot1x密码复杂度/认证组合-首次登录,非首次登录-不符合策略-定时强制开-调用配置接口设策略-触发1x认证-断言认证成功,"1. 登录管理端 - 引用51401
2. 调用密码策略配置接口，设置密码复杂度要求（首字母大写、包含小写字母、数字、特殊字符，长度3-30）
3. 调用密码安全管理配置接口，关闭「首次登录用户强制修改密码」按钮
4. 调用密码安全管理配置接口，关闭「对未通过密码强度检测的用户进行强制处理」按钮
5. 调用密码安全管理配置接口，开启「启用定期修改密码」按钮，强制处理方式设为""返回认证失败+短信通知""
6. 调用用户管理接口，创建测试用户并设置不符合密码策略的密码（如 rui12345，不含大写字母和特殊字符）
7. 调用模拟认证接口，触发用户非首次1x有线认证
8. 调用认证日志查询接口，断言认证成功
9. 清理测试数据 - 调用接口删除测试用户/恢复密码策略默认配置","1.设置密码策略为包含首字母是大写字母、小写字母、长度3-30、数字，
2、关闭首次登录用户强制修改密码、关闭未通过密码强度检测的用户强制修改密码、开启定时强制修改密码、开启提前短信通知
3.针对”定时强制修改密码”返回认证失败+短信通知“
4.针对”定时强制修改密码”已配置好对应的网关和短信模板“"
67040,,是,"1.用户1x有线认证失败
2.在认证失败日志看到用户认证失败原因为：“用户密码已过期“","1.用户1x有线非首次登录认证，密码为rui12345
2.查看认证失败日志",配置组三个按钮开启/关闭的组合-非首次用户登录,非首次登录+符合密码策略+开启首次登录用户强制修改密码+开启对未通过密码强度监测的用户进行强制处理+开启定时强制密码修改+开启提前短信通知（超出定时期间内）,"1、用户1X有线非首次登录，符合密码策略，定时强制密码修改常开(超出定时期间）
2、用户1x有线认证失败",RG-UNC-dot1x密码复杂度-TP-056,dot1x密码复杂度/认证组合-首次登录,非首次登录-符合策略-首次登录强制开+强度检测强制开+定时强制开-调用配置接口设策略-触发1x认证-断言认证失败-密码已过期,"1. 登录管理端 - 引用51401
2. 调用密码策略配置接口，设置密码复杂度要求（首字母大写、包含小写字母、数字、特殊字符，长度3-30）
3. 调用密码安全管理配置接口，开启「首次登录用户强制修改密码」按钮，强制处理方式设为""返回认证失败""
4. 调用密码安全管理配置接口，开启「对未通过密码强度检测的用户进行强制处理」按钮，强制处理方式设为""返回认证失败""
5. 调用密码安全管理配置接口，开启「启用定期修改密码」按钮，强制处理方式设为""返回认证失败""
6. 调用用户管理接口，创建测试用户并设置符合密码策略的密码（如 Rui12345?，含大写+小写+数字+特殊字符）
7. 调用模拟认证接口，触发用户非首次1x有线认证
8. 调用认证日志查询接口，断言认证失败
9. 调用认证失败日志查询接口，断言失败原因包含「密码已过期」
10. 清理测试数据 - 调用接口删除测试用户/恢复密码策略默认配置","1.设置密码策略为包含小写字母、长度3-30、数字，
2、开启首次登录用户强制修改密码、开启未通过密码强度检测的用户强制修改密码、开启定时强制修改密码、开启提前短信通知"
